timestamp,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7
1757512500000,35.85714285714286,39.857142857142854,3.333333333333333,35.851851851851855,5.7560975609756095,4.0,32.30769230769231,56.0
1757512800000,36.52173913043478,39.85714285714286,3.2765957446808507,35.86666666666667,5.894736842105264,4.0,33.2,55.65217391304348
1757513100000,36.869565217391305,39.63636363636364,3.3636363636363633,35.047619047619044,6.181818181818182,3.6666666666666665,32.18181818181818,55.578947368421055
1757513400000,34.42857142857143,39.05882352941177,3.25,34.45161290322581,6.1,4.571428571428571,32.0,53.26315789473684
1757513700000,34.54545454545455,38.206896551724135,3.3043478260869565,33.84615384615385,5.951219512195122,3.935483870967742,31.393939393939394,52.0
1757514000000,35.76470588235294,38.666666666666664,3.333333333333333,32.94117647058823,5.212121212121212,3.333333333333333,30.76923076923077,52.5
1757514300000,35.172413793103445,38.61538461538461,4.380952380952381,33.26315789473684,7.304347826086957,4.8,31.135135135135137,52.36363636363637
1757514600000,26.823529411764707,27.428571428571427,25.333333333333332,26.25,33.86666666666667,30.857142857142854,23.862068965517242,40.0
1757514900000,24.952380952380953,28.6,26.0,23.75,37.77777777777778,35.733333333333334,22.4,38.4
1757515200000,25.333333333333332,27.68,25.818181818181817,25.0,37.0,34.666666666666664,22.63157894736842,39.333333333333336
1757515500000,24.666666666666668,26.666666666666664,25.09090909090909,25.62962962962963,36.61538461538461,35.47826086956522,22.829268292682926,38.95652173913044
1757515800000,24.842105263157894,27.0,25.945945945945947,24.571428571428573,38.36363636363636,34.92307692307692,23.857142857142858,39.81818181818182
1757516100000,25.692307692307693,27.833333333333336,26.444444444444443,24.842105263157894,38.0,36.0,23.515151515151516,39.2
1757516400000,26.666666666666664,28.19047619047619,26.307692307692307,24.8,37.473684210526315,35.53846153846154,23.529411764705884,40.75
1757516700000,25.759999999999998,28.6,26.24,24.42105263157895,38.22222222222222,35.2,23.625,41.27272727272727
