timestamp,value_0,value_1,value_2,is_anomaly,anomaly_scores
1760377800000,10.32,9.488372093023255,34.26086956521739,False,0.0
1760378100000,10.608695652173914,9.238095238095237,34.13333333333333,False,0.0
1760378400000,10.536585365853659,8.8,33.95744680851064,False,0.0
1760378700000,10.285714285714286,8.685714285714285,34.04255319148936,False,0.0
1760379000000,10.352941176470589,8.625,33.65853658536585,False,0.0
1760379300000,10.26086956521739,8.777777777777779,33.5609756097561,False,0.0
1760379600000,10.0,8.864864864864865,32.275862068965516,False,0.0
1760379900000,10.0,8.923076923076923,31.625,False,0.0
1760380200000,9.75609756097561,8.666666666666666,31.157894736842106,False,0.0
1760380500000,9.80952380952381,8.588235294117647,31.05263157894737,False,0.0
1760380800000,10.173913043478262,8.484848484848484,30.577777777777776,False,0.0
1760381100000,10.4,8.705882352941178,30.5,False,0.0
1760381400000,9.872340425531915,8.947368421052632,29.92,False,0.0
1760381700000,8.914285714285715,8.25,30.153846153846153,False,0.0
1760382000000,9.837837837837839,8.685714285714285,29.833333333333332,False,0.0
1760382300000,9.529411764705882,8.571428571428571,29.511111111111113,False,0.0
1760382600000,9.142857142857142,8.0,29.523809523809526,False,0.0
1760382900000,9.11111111111111,7.636363636363637,28.4,False,0.0
1760383200000,9.222222222222221,8.571428571428571,28.133333333333333,False,0.0
1760383500000,8.88888888888889,8.0,27.22222222222222,False,0.0
1760383800000,9.0,7.636363636363637,26.857142857142858,False,0.36813693540317705
1760384100000,8.588235294117647,7.529411764705882,26.52173913043478,False,0.10337508184667735
1760384400000,8.0,6.790697674418604,26.511627906976745,False,1.018205344494901
1760384700000,7.157894736842105,6.857142857142858,26.29787234042553,False,0.28752207887152
1760385000000,7.0,6.553191489361701,25.955555555555556,False,0.5747854667978589
1760385300000,7.333333333333333,7.157894736842105,26.210526315789473,False,0.6649362684328
1760385600000,10.297872340425531,8.756756756756756,27.428571428571427,False,3.2954935581126454
1760385900000,9.5,8.777777777777779,27.733333333333334,False,0.6798745453993137
1760386200000,9.31578947368421,8.777777777777779,27.636363636363637,False,0.42529475760321167
1760386500000,9.538461538461538,8.666666666666666,27.157894736842106,False,0.5989638794274492
1760386800000,9.560975609756097,8.571428571428571,26.545454545454547,False,0.4269544817921013
1760387100000,9.297297297297296,7.870967741935484,26.434782608695652,False,1.3498589300830475
1760387400000,8.903225806451612,8.470588235294118,26.26086956521739,False,0.7262003735937627
1760387700000,9.0,7.636363636363637,25.79591836734694,False,1.2412377135684811
1760388000000,8.875,8.0,25.454545454545453,False,0.4251150643208412
1760388300000,8.914285714285715,7.870967741935484,25.363636363636363,False,0.441782747996209
1760388600000,9.08108108108108,7.636363636363637,25.0,False,0.27625754980886885
1760388900000,8.266666666666667,7.428571428571429,24.0,False,0.4792641346233538
1760389200000,7.0,6.352941176470589,22.24,False,0.42058907087444025
1760389500000,6.857142857142858,6.3076923076923075,22.166666666666668,False,0.21470613958459694
1760389800000,6.608695652173913,6.222222222222221,22.166666666666668,False,0.08719582717739362
1760390100000,6.553191489361701,6.181818181818182,22.23076923076923,False,0.10148624529294485
1760390400000,6.608695652173913,6.222222222222221,21.77777777777778,False,0.33559229517290884
1760390700000,6.5,6.3076923076923075,21.2,False,0.5152024516180173
1760391000000,6.553191489361701,6.142857142857142,21.170731707317074,False,0.14493696207608003
1760391300000,6.553191489361701,6.142857142857142,20.94736842105263,False,0.29099919061941276
1760391600000,6.4,6.142857142857142,20.756756756756758,False,0.14613887882684803
1760391900000,6.5,6.037735849056604,20.0,False,0.21978292916568268
1760392200000,6.608695652173913,6.181818181818182,20.129032258064516,False,0.24882992491537162
1760392500000,6.829268292682926,6.448979591836735,20.266666666666666,False,0.22872276154306886
1760392800000,7.75,7.636363636363637,21.959183673469386,False,1.2325100426795854
1760393100000,7.333333333333334,7.243243243243243,22.076923076923077,False,0.4140766065977218
1760393400000,6.926829268292682,6.727272727272727,21.80392156862745,False,0.5381403061406113
1760393700000,7.0,6.553191489361701,21.714285714285715,False,0.3223122518151872
1760394000000,7.157894736842105,7.076923076923077,21.42222222222222,False,0.6683602736558591
1760394300000,7.870967741935484,6.857142857142858,21.523809523809526,False,0.33701933317252464
1760394600000,7.428571428571429,6.666666666666666,21.025641025641026,False,0.22961417620452523
1760394900000,7.157894736842105,6.727272727272727,20.77777777777778,False,0.27130134285489493
1760395200000,6.5,6.5,20.756756756756758,False,0.3680943656332064
1760395500000,6.666666666666666,6.553191489361701,20.842105263157894,False,0.10460900879022172
1760395800000,6.666666666666666,6.3076923076923075,20.25,False,0.2997878182615508
1760396100000,6.608695652173913,6.448979591836735,19.41176470588235,False,0.5332248488448778
1760396400000,6.352941176470589,6.142857142857142,18.08,False,0.5544204172281065
1760396700000,6.148148148148148,6.033898305084746,17.88235294117647,False,0.11863667522416897
1760397000000,6.333333333333334,6.071428571428571,18.0,False,0.17305923247028349
1760397300000,6.264150943396226,6.033898305084746,17.925925925925927,False,0.1874675284735122
1760397600000,6.222222222222221,5.963636363636364,17.78723404255319,False,0.19961471758192928
1760397900000,6.3076923076923075,5.886792452830189,18.040816326530614,False,0.1347326872981891
1760398200000,6.264150943396226,6.071428571428571,17.73913043478261,False,0.23501135314464222
1760398500000,6.3076923076923075,5.966101694915254,17.666666666666668,False,0.17747547858103702
1760398800000,6.16,6.035087719298245,17.76923076923077,False,0.199240910666557
1760399100000,6.222222222222221,6.109090909090909,17.565217391304348,False,0.4045426584446476
1760399400000,6.264150943396226,6.068965517241379,17.454545454545453,False,0.09516133192069942
1760399700000,6.188679245283018,6.071428571428571,17.79591836734694,False,0.14112036146891238
1760400000000,6.222222222222221,6.0,17.76923076923077,False,0.3461402932763403
1760400300000,6.142857142857142,5.9259259259259265,17.88679245283019,False,0.15361746390397743
1760400600000,6.352941176470589,6.033898305084746,17.877551020408163,False,0.3963777330940235
1760400900000,6.142857142857142,6.068965517241379,17.78723404255319,False,0.17169501813761112
1760401200000,6.352941176470589,6.033898305084746,17.85185185185185,False,0.18083401656044767
1760401500000,6.553191489361701,6.036363636363636,17.76923076923077,False,0.32641983429815646
1760401800000,6.448979591836735,5.964912280701754,18.0,False,0.1673887443574827
1760402100000,6.222222222222221,6.035087719298245,17.75,False,0.25407336999184166
1760402400000,6.264150943396226,6.068965517241379,17.632653061224488,False,0.1939215215710967
1760402700000,6.264150943396226,6.0,17.666666666666668,False,0.03392008786753482
1760403000000,6.36734693877551,6.0,17.833333333333332,False,0.09845024215140448
1760403300000,6.3076923076923075,6.035087719298245,17.818181818181817,False,0.12326892999349265
1760403600000,6.352941176470589,6.105263157894736,18.074074074074073,False,0.21400508064544896
1760403900000,6.3076923076923075,6.071428571428571,17.92,False,0.12644020846359466
1760404200000,6.4,6.074074074074074,18.285714285714285,False,0.21510160459173852
1760404500000,6.448979591836735,6.035087719298245,18.20408163265306,False,0.12175784752953199
1760404800000,6.352941176470589,6.109090909090909,18.285714285714285,False,0.1779104625652601
1760405100000,6.32,6.035087719298245,18.307692307692307,False,0.10501455735838591
1760405400000,6.3076923076923075,6.109090909090909,18.333333333333332,False,0.19721149445848732
1760405700000,6.181818181818182,6.0,18.727272727272727,False,0.2153102343137971
1760406000000,6.3076923076923075,6.068965517241379,19.076923076923077,False,0.1747862815383946
1760406300000,6.448979591836735,6.142857142857142,18.790697674418606,False,0.1598097367216809
1760406600000,6.5,6.068965517241379,18.926829268292682,False,0.10336988780856281
1760406900000,6.4,6.109090909090909,19.428571428571427,False,0.21286550115225342
1760407200000,6.857142857142858,6.3076923076923075,22.040816326530614,False,1.1817181880374936
1760407500000,6.727272727272727,6.3076923076923075,21.872340425531917,False,0.27447878554814015
1760407800000,6.857142857142858,6.4,22.03921568627451,False,0.1272566430278497
1760408100000,6.947368421052632,6.5,22.285714285714285,False,0.03753370171544407
1760408400000,7.333333333333334,6.666666666666666,22.636363636363637,False,0.18906217311998377
1760408700000,7.428571428571429,6.608695652173913,22.790697674418606,False,0.36242572174747417
1760409000000,8.0,7.243243243243243,23.05263157894737,False,0.8876971981392585
1760409300000,7.243243243243243,7.333333333333333,23.333333333333332,False,0.5170908191415232
1760409600000,8.133333333333333,7.157894736842105,23.75,False,0.4410024721433376
1760409900000,7.636363636363637,7.428571428571429,24.842105263157894,False,0.4442368170723467
1760410200000,8.0,7.75,25.26829268292683,False,0.24534214085290448
1760410500000,7.870967741935484,8.25,25.545454545454547,False,0.8771307479885356
1760410800000,6.553191489361702,6.264150943396226,23.866666666666667,False,2.5777686975327208
1760411100000,6.790697674418604,6.3076923076923075,24.129032258064516,False,0.22697436199908122
